FID,ogc_fid,plant_name,utility_na,sector_nam,city,county,statename,zip,primsource,total_mw,tech_desc
powerplant_hydro_2020.101,101,Spaulding 2,Pacific Gas & Electric Co.,Electric Utility,Emigrant Gap,Nevada,California,95715,hydroelectric,4.4,Conventional Hydroelectric
powerplant_hydro_2020.102,102,Spaulding 3,Pacific Gas & Electric Co.,Electric Utility,Emigrant Gap,Nevada,California,95715,hydroelectric,5.8,Conventional Hydroelectric
powerplant_hydro_2020.103,103,Spring Gap,Pacific Gas & Electric Co.,Electric Utility,Long Barn,Tuolumne,California,95335,hydroelectric,7,Conventional Hydroelectric
powerplant_hydro_2020.104,104,Stanislaus,Pacific Gas & Electric Co.,Electric Utility,Vallecito,Tuolumne,California,95251,hydroelectric,91,Conventional Hydroelectric
powerplant_hydro_2020.105,105,Tiger Creek,Pacific Gas & Electric Co.,Electric Utility,Pioneer,Amador,California,95666,hydroelectric,58,Conventional Hydroelectric
powerplant_hydro_2020.106,106,Tule River,Pacific Gas & Electric Co.,Electric Utility,Springville,Tulare,California,93265,hydroelectric,6.4,Conventional Hydroelectric
powerplant_hydro_2020.107,107,Volta 1,Pacific Gas & Electric Co.,Electric Utility,Manton,Shasta,California,96059,hydroelectric,9,Conventional Hydroelectric
powerplant_hydro_2020.108,108,West Point PH,Pacific Gas & Electric Co.,Electric Utility,Pioneer,Amador,California,95666,hydroelectric,14.5,Conventional Hydroelectric
powerplant_hydro_2020.109,109,Wise,Pacific Gas & Electric Co.,Electric Utility,Auburn,Placer,California,95603,hydroelectric,17.2,Conventional Hydroelectric
powerplant_hydro_2020.110,110,A G Wishon,Pacific Gas & Electric Co.,Electric Utility,North Fork,Madera,California,93643,hydroelectric,20,Conventional Hydroelectric
powerplant_hydro_2020.111,111,Copco 1,PacifiCorp,Electric Utility,Hornbrook,Siskiyou,California,96044,hydroelectric,28,Conventional Hydroelectric
powerplant_hydro_2020.112,112,Copco 2,PacifiCorp,Electric Utility,Hornbrook,Siskiyou,California,96044,hydroelectric,34,Conventional Hydroelectric
powerplant_hydro_2020.113,113,Fall Creek,PacifiCorp,Electric Utility,Hornbrook,Siskiyou,California,96044,hydroelectric,1.9,Conventional Hydroelectric
powerplant_hydro_2020.114,114,Iron Gate,PacifiCorp,Electric Utility,Hornbrook,Siskiyou,California,96044,hydroelectric,18.8,Conventional Hydroelectric
powerplant_hydro_2020.115,115,Green Lake,City & Borough of Sitka - (AK),Electric Utility,Sitka,Sitka,Alaska,99835,hydroelectric,18.6,Conventional Hydroelectric
powerplant_hydro_2020.116,116,Drop 5,Imperial Irrigation District,Electric Utility,Calexico,Imperial,California,92231,hydroelectric,3.8,Conventional Hydroelectric
powerplant_hydro_2020.117,117,Sepulveda Canyon,Metropolitan Water District of S CA,Electric Utility,Los Angeles,Los Angeles,California,90049,hydroelectric,8.5,Conventional Hydroelectric
powerplant_hydro_2020.118,118,Big Creek 1,Southern California Edison Co,Electric Utility,Big Creek,Fresno,California,93605,hydroelectric,88.4,Conventional Hydroelectric
powerplant_hydro_2020.119,119,Big Creek 2,Southern California Edison Co,Electric Utility,Auberry,Fresno,California,93605,hydroelectric,66.6,Conventional Hydroelectric
powerplant_hydro_2020.120,120,Big Creek 3,Southern California Edison Co,Electric Utility,Auberry,Fresno,California,93602,hydroelectric,173.5,Conventional Hydroelectric
powerplant_hydro_2020.121,121,Big Creek 4,Southern California Edison Co,Electric Utility,North Fork,Madera,California,93643,hydroelectric,100,Conventional Hydroelectric
