FID,ogc_fid,plant_name,utility_na,sector_nam,city,county,statename,zip,primsource,total_mw,tech_desc
powerplant_solar_2020.1681,1681,Rising Paper,"Altus Power America Management, LLC",IPP Non-CHP,Great Barrington,Berkshire,Massachusetts,1230,solar,2.5,Solar Photovoltaic
powerplant_solar_2020.1682,1682,Hampden,"Altus Power America Management, LLC",IPP Non-CHP,Hampden,Hampden,Massachusetts,1036,solar,3.2,Solar Photovoltaic
powerplant_solar_2020.1683,1683,Little Bay,"Altus Power America Management, LLC",IPP Non-CHP,Providence,Providence,Rhode Island,2907,solar,1.3,Solar Photovoltaic
powerplant_solar_2020.1684,1684,MEBA,"Altus Power America Management, LLC",IPP Non-CHP,Easton,Talbot,Maryland,21601,solar,1.5,Solar Photovoltaic
powerplant_solar_2020.1685,1685,SR Skylark B,"SR Skylark B, LLC",IPP Non-CHP,Severance,Weld,Colorado,80546,solar,2,Solar Photovoltaic
powerplant_solar_2020.1686,1686,Shirley Water,"Altus Power America Management, LLC",IPP Non-CHP,Shirley,Middlesex,Massachusetts,1464,solar,2,Solar Photovoltaic
powerplant_solar_2020.1687,1687,Jefferson Avenue,Hartz Solar LLC,Commercial Non-CHP,Secaucus,Hudson,New Jersey,7094,solar,1.7,Solar Photovoltaic
powerplant_solar_2020.1688,1688,Westside Avenue,Hartz Solar LLC,Commercial Non-CHP,North Bergen,Hudson,New Jersey,7047,solar,0.9,Solar Photovoltaic
powerplant_solar_2020.1689,1689,Hartz Way,Hartz Solar LLC,Commercial Non-CHP,Secaucus,Hudson,New Jersey,7094,solar,0.9,Solar Photovoltaic
powerplant_solar_2020.1690,1690,Broome County,Tesla Inc.,IPP Non-CHP,Conklin,Broome,New York,13748,solar,4,Solar Photovoltaic
powerplant_solar_2020.1691,1691,Valley Center,"Heelstone Energy Holdings, LLC",IPP Non-CHP,Valley Center,San Diego,California,92082,solar,2.3,Solar Photovoltaic
powerplant_solar_2020.1692,1692,Two Mile Desert Project,Citizens Enterprises Corporation,IPP Non-CHP,Hertford,Perquimans,North Carolina,27944,solar,16.2,Solar Photovoltaic
powerplant_solar_2020.1693,1693,Clear Spring Ranch PV Project,"DG Colorado Solar, LLC",IPP Non-CHP,Fountain,El Paso,Colorado,80817,solar,10,Solar Photovoltaic
powerplant_solar_2020.1694,1694,Seminole,,IPP Non-CHP,Donalsonville,Seminole,Georgia,39845,solar,1.6,Solar Photovoltaic
powerplant_solar_2020.1695,1695,Granger,"Heelstone Energy Holdings, LLC",IPP Non-CHP,Valley Center,San Diego,California,92082,solar,3,Solar Photovoltaic
powerplant_solar_2020.1696,1696,Stafford Hill Solar,Green Mountain Power Corp,Electric Utility,Rutland,Rutland,Vermont,5701,solar,4,Batteries; Solar Photovoltaic;
powerplant_solar_2020.1697,1697,Albany Solar,"Enel Green Power NA, Inc.",IPP Non-CHP,Albany,Stearns,Minnesota,56307,solar,10,Solar Photovoltaic
