"Data_Status","State","MSN","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018"
"2018F","US","AVTXD"," 2.17"," 2.21"," 2.19"," 2.36"," 3.23"," 3.45"," 3.59"," 3.97"," 4.29"," 5.73"," 9.02"," 10.84"," 10.92"," 10.44"," 10.27"," 9.99"," 8.41"," 7.55"," 7.41"," 8.28"," 9.32"," 8.71"," 8.54"," 8.24"," 7.96"," 8.36"," 9.29"," 9.39"," 8.11"," 8.81"," 10.87"," 11.01"," 10.72"," 12.42"," 15.13"," 18.56"," 22.31"," 23.7"," 27.23"," 20.32"," 25.19"," 31.64"," 33.04"," 32.71"," 33.16"," 24.86"," 21.62"," 24.13"," 27.04"
"2018F","US","AVTXV"," 218"," 199.8"," 187.5"," 196.8"," 264.7"," 244.7"," 241.9"," 279.1"," 306.8"," 403.1"," 580.3"," 610"," 512.8"," 497.8"," 450.5"," 502.9"," 495.7"," 344.4"," 363.2"," 394"," 419.1"," 363.4"," 350.8"," 316.3"," 303.7"," 331"," 346.9"," 372.6"," 288"," 345.1"," 394.3"," 384.6"," 361.5"," 375.4"," 472.8"," 656.5"," 746.4"," 748.8"," 770.2"," 539.6"," 681.4"," 856.1"," 829.7"," 731.4"," 719.5"," 525.6"," 442.5"," 505.5"," 605.5"
"2018F","US","CCEXD"," 1.27"," 1.2"," 1.01"," .96"," 1.37"," 2.37"," 2.05"," 2.32"," 2.87"," 2.26"," 2.54"," 2.55"," 2.49"," 2.76"," 2.68"," 2.76"," 2.63"," 3.37"," 2.85"," 2.98"," 3.53"," 2.86"," 2.78"," 2.88"," 2.46"," 2.71"," 2.2"," 2.64"," 3.73"," 3.88"," 3.64"," 3.27"," 3.25"," 3.88"," 3.28"," 3.39"," 3.19"," 3.66"," 4.33"," 4.17"," 6.74"," 8.75"," 8.65"," 8.91"," 9.94"," 9.28"," 8.75"," 9.32"," 10.53"
"2018F","US","CCEXV"," 78.3"," 44.8"," 30.7"," 33.1"," 43.6"," 74.7"," 66.7"," 71.5"," 49.3"," 80.8"," 130.4"," 74"," 61.4"," 45.6"," 69.5"," 76.8"," 65.5"," 48"," 77.1"," 80.2"," 50.1"," 56.1"," 48.5"," 76"," 60.1"," 91.2"," 88.4"," 82.9"," 104.3"," 86.3"," 103.4"," 109.1"," 63.8"," 69.5"," 107.4"," 147"," 127.8"," 131"," 210.4"," 135.2"," 244.7"," 210.4"," 209.1"," 185.5"," 233.2"," 197.1"," 216.9"," 279.6"," 300.5"
"2018F","US","CCIMD"," .93"," 1.17"," 1.01"," 1.47"," 2.2"," 3.47"," 3.41"," 3.06"," 2.9"," 3.45"," 3.19"," 3.28"," 3.1"," 2.25"," 3.27"," 2.99"," 3.11"," 2.4"," 2.9"," 3.79"," 3.8"," 3.41"," 3.35"," 3.22"," 3.31"," 3.43"," 3.87"," 3.25"," 3.07"," 2.83"," 2.66"," 3.04"," 3.04"," 3.49"," 7.23"," 8.92"," 6.31"," 7.84"," 18.76"," 10.82"," 13.37"," 15.71"," 13.64"," 8.55"," 4.73"," 5.9"," 5.78"," 7.11"," 10.66"
"2018F","US","CCIMV"," 3.5"," 5"," 4.6"," 39.9"," 193.1"," 156.5"," 111"," 138.7"," 411"," 340.1"," 52.1"," 42.8"," 9.2"," 2"," 47.1"," 42.9"," 25.4"," 54.9"," 193.5"," 217.4"," 72.1"," 100.1"," 174.4"," 172.3"," 274.3"," 325.1"," 244"," 253.1"," 292.2"," 226.4"," 249.3"," 190.6"," 244.3"," 238.7"," 1232"," 780.4"," 636.3"," 478.4"," 1675.9"," 93"," 402.7"," 552.2"," 383.8"," 29.2"," 9"," 20.5"," 32.7"," 10.3"," 30.9"
"2018F","US","CCNIV","-74.8","-39.8","-26.1"," 6.8"," 149.6"," 81.8"," 44.3"," 67.2"," 361.7"," 259.3","-78.3","-31.2","-52.2","-43.7","-22.4","-33.9","-40.1"," 6.9"," 116.4"," 137.2"," 22"," 44"," 125.9"," 96.4"," 214.2"," 233.8"," 155.6"," 170.2"," 187.9"," 140"," 145.9"," 81.5"," 180.5"," 169.1"," 1124.6"," 633.4"," 508.5"," 347.3"," 1465.5","-42.2"," 158"," 341.8"," 174.7","-156.4","-224.2","-176.6","-184.2","-269.2","-269.6"
"2018F","US","CLACD"," .41"," .46"," .48"," .5"," .96"," 1.26"," 1.21"," 1.27"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"
"2018F","US","CLACV"," 2.8"," 2.2"," 1.8"," 1.3"," 1.7"," .7"," .3"," .3"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"
"2018F","US","CLCCD"," .44"," .48"," .51"," .52"," 1"," 1.31"," 1.23"," 1.3"," 1.39"," 1.46"," 1.53"," 1.79"," 1.87"," 1.74"," 1.77"," 1.73"," 1.65"," 1.52"," 1.52"," 1.5"," 1.61"," 1.57"," 1.58"," 1.59"," 1.55"," 1.54"," 1.49"," 1.5"," 1.49"," 1.49"," 1.43"," 1.55"," 1.6"," 1.55"," 1.78"," 2.16"," 2.32"," 2.36"," 3.75"," 4.25"," 3.73"," 3.99"," 4.39"," 4.18"," 4.03"," 4.19"," 4.67"," 5.06"," 5.17"
"2018F","US","CLCCV"," 72.4"," 84.9"," 77.8"," 83.7"," 172.9"," 191.4"," 176.8"," 192.4"," 229.3"," 220.8"," 179.1"," 245.5"," 290.9"," 282.4"," 299.9"," 238.1"," 224.3"," 193.1"," 199.6"," 173.4"," 199.8"," 180.8"," 184.6"," 185.3"," 181.5"," 178.6"," 178.8"," 192.6"," 149.6"," 151.5"," 122.7"," 136.5"," 140.9"," 128.6"," 183"," 207"," 149"," 166.2"," 301.8"," 311.1"," 259.4"," 246.2"," 191.6"," 173.2"," 163.1"," 130.3"," 112.3"," 105.3"," 97"
"2018F","US","CLEID"," .31"," .36"," .38"," .41"," .71"," .82"," .85"," .95"," 1.12"," 1.22"," 1.35"," 1.53"," 1.65"," 1.66"," 1.66"," 1.65"," 1.58"," 1.51"," 1.47"," 1.45"," 1.46"," 1.45"," 1.41"," 1.39"," 1.36"," 1.32"," 1.29"," 1.28"," 1.26"," 1.23"," 1.21"," 1.25"," 1.25"," 1.27"," 1.35"," 1.53"," 1.68"," 1.78"," 2.09"," 2.21"," 2.28"," 2.38"," 2.39"," 2.36"," 2.37"," 2.23"," 2.14"," 2.08"," 2.07"
"2018F","US","CLEIV"," 2237.2"," 2636.8"," 2977.1"," 3517.6"," 6059.9"," 7178.4"," 8283.6"," 9717.8"," 11472.2"," 13805.9"," 16449.7"," 19365"," 20640.6"," 21872.8"," 23165.5"," 24056.2"," 22754.8"," 22785"," 23290.2"," 23376"," 23670.5"," 23536.1"," 23270.4"," 23904.4"," 23416.1"," 23138.2"," 23862.2"," 24155.7"," 24140.3"," 23666.2"," 24423.9"," 24459.9"," 24810.9"," 25683.8"," 27473.6"," 31682.2"," 34422.8"," 37072.8"," 42900.3"," 40194.5"," 43596.4"," 42856.3"," 37814.7"," 38751.3"," 38993.4"," 31585.3"," 27786.9"," 26191.8"," 24974.1"
"2018F","US","CLICD"," .45"," .5"," .55"," .63"," 1.22"," 1.5"," 1.5"," 1.56"," 1.73"," 1.75"," 1.87"," 2.06"," 2.09"," 1.91"," 1.89"," 1.83"," 1.72"," 1.6"," 1.62"," 1.61"," 1.62"," 1.63"," 1.62"," 1.58"," 1.57"," 1.58"," 1.57"," 1.58"," 1.53"," 1.53"," 1.5"," 1.58"," 1.69"," 1.67"," 1.92"," 2.47"," 2.72"," 2.82"," 3.38"," 3.69"," 3.93"," 4.55"," 4.59"," 4.1"," 3.74"," 3.53"," 3.15"," 3.37"," 3.53"
"2018F","US","CLICV"," 2082.2"," 1970.8"," 2211.8"," 2527.4"," 4703.9"," 5497.8"," 5448.3"," 5359.9"," 5721.9"," 6247.4"," 5888.1"," 6441"," 5301"," 4734.7"," 5363"," 5066.1"," 4552.9"," 4254"," 4572.8"," 4464.5"," 4455.4"," 4225.5"," 4063.5"," 3945.2"," 3927.6"," 3936.5"," 3828.9"," 3775.4"," 3454.5"," 3343.5"," 3388.8"," 3467.2"," 3418"," 3410.7"," 3936.1"," 4824.4"," 5200.2"," 5253.4"," 6050.4"," 5136.3"," 6388.8"," 7131"," 6958.1"," 6335.8"," 5716"," 4862.5"," 3795.1"," 4029"," 4158.9"
"2018F","US","CLISB"," 4651642"," 3941556"," 3987727"," 4036545"," 3850012"," 3653780"," 3637824"," 3439122"," 3299060"," 3578551"," 3152167"," 3122123"," 2534824"," 2485092"," 2835316"," 2769411"," 2640598"," 2664440"," 2826581"," 2769683"," 2750618"," 2596679"," 2508461"," 2496131"," 2503400"," 2496866"," 2434692"," 2392649"," 2253611"," 2186795"," 2258518"," 2192595"," 2019347"," 2043046"," 2045411"," 1953003"," 1912699"," 1863538"," 1790789"," 1393528"," 1624738"," 1565990"," 1515297"," 1546394"," 1528509"," 1379275"," 1206183"," 1196427"," 1178166"
"2018F","US","CLKCD"," .45"," .52"," .59"," .68"," 1.36"," 1.65"," 1.65"," 1.72"," 1.94"," 1.89"," 2.1"," 2.34"," 2.43"," 2.14"," 2.09"," 2.03"," 1.9"," 1.74"," 1.79"," 1.78"," 1.79"," 1.83"," 1.83"," 1.79"," 1.73"," 1.76"," 1.77"," 1.79"," 1.69"," 1.69"," 1.67"," 1.74"," 1.94"," 1.93"," 2.31"," 3.19"," 3.54"," 3.64"," 4.49"," 5.43"," 5.84"," 6.89"," 6.59"," 5.43"," 4.61"," 4.16"," 3.56"," 4.11"," 4.4"
"2018F","US","CLKCV"," 1174.9"," 1162.8"," 1379.1"," 1723.8"," 3283.7"," 3691.7"," 3739.7"," 3579.1"," 3702.5"," 3920.2"," 3753.4"," 3831.3"," 2661.1"," 2128.4"," 2461.1"," 2228.5"," 1825.1"," 1717.7"," 2005.6"," 1933.7"," 1862"," 1659.8"," 1586.9"," 1505.5"," 1472.9"," 1557.6"," 1507.1"," 1452.9"," 1303.5"," 1306.5"," 1327.4"," 1246.7"," 1257.7"," 1282.8"," 1499"," 1963.5"," 2132"," 2175.1"," 2606.2"," 2191.7"," 3239"," 3885.4"," 3915.6"," 3345.9"," 2795.5"," 2340"," 1677.6"," 2069.2"," 2305.7"
"2018F","US","CLOCD"," .44"," .47"," .51"," .53"," .99"," 1.28"," 1.25"," 1.31"," 1.46"," 1.55"," 1.56"," 1.75"," 1.84"," 1.75"," 1.75"," 1.7"," 1.62"," 1.51"," 1.51"," 1.5"," 1.52"," 1.52"," 1.51"," 1.47"," 1.49"," 1.48"," 1.46"," 1.47"," 1.45"," 1.44"," 1.41"," 1.5"," 1.58"," 1.54"," 1.75"," 2.14"," 2.34"," 2.43"," 2.85"," 2.97"," 2.94"," 3.24"," 3.3"," 3.22"," 3.17"," 3.09"," 2.88"," 2.83"," 2.84"
"2018F","US","CLOCV"," 907.3"," 808"," 832.8"," 803.6"," 1420.3"," 1806.1"," 1708.5"," 1780.8"," 2019.4"," 2327.2"," 2134.6"," 2609.8"," 2639.9"," 2606.3"," 2901.9"," 2837.7"," 2727.7"," 2536.3"," 2567.2"," 2530.8"," 2593.4"," 2565.7"," 2476.6"," 2439.8"," 2454.7"," 2378.9"," 2321.9"," 2322.5"," 2151"," 2037.1"," 2061.4"," 2220.5"," 2160.3"," 2128"," 2437.2"," 2860.9"," 3068.1"," 3078.3"," 3444.2"," 2944.6"," 3149.8"," 3245.5"," 3042.5"," 2990"," 2920.5"," 2522.5"," 2117.5"," 1959.8"," 1853.3"
"2018F","US","CLOSB"," 2067520"," 1712350"," 1637745"," 1516565"," 1434878"," 1414830"," 1369346"," 1356715"," 1386463"," 1505996"," 1366451"," 1487325"," 1438623"," 1492675"," 1655579"," 1669216"," 1679572"," 1676161"," 1704021"," 1684041"," 1708772"," 1689420"," 1641064"," 1656681"," 1652760"," 1612167"," 1584978"," 1583209"," 1480519"," 1415917"," 1464838"," 1477466"," 1370569"," 1378043"," 1396244"," 1337005"," 1309669"," 1265607"," 1210591"," 990106"," 1069991"," 1001993"," 921059"," 929972"," 922490"," 817211"," 734557"," 693560"," 653633"
"2018F","US","CLRCD"," 1.14"," 1.22"," 1.27"," 1.2"," 2.2"," 2.45"," 2.41"," 2.53"," 2.59"," 2.69"," 2.9"," 3.56"," 3.65"," 3.16"," 3.4"," 3.26"," 3.12"," 2.74"," 2.61"," 2.64"," 3.01"," 3.1"," 2.89"," 3.02"," 2.67"," 2.58"," 2.53"," 2.48"," 2.46"," 2.37"," 2.24"," 2.93"," 2.59"," 2.46"," 3.03"," 3.46"," 3.51"," 3.5"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"
"2018F","US","CLRCV"," 235.6"," 207.3"," 146.6"," 112.5"," 179.9"," 152.8"," 141.9"," 145.2"," 127.5"," 101.6"," 89.9"," 107.1"," 116.3"," 97.4"," 134.8"," 126.6"," 126.5"," 104"," 96.6"," 80.9"," 93"," 78.6"," 74"," 77.1"," 55.1"," 44.8"," 41.5"," 39.4"," 30.6"," 32.8"," 23.8"," 31.9"," 31"," 30.5"," 34.6"," 28.8"," 22.3"," 27.4"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"
"2018F","US","CLRFB"," 11872"," 9525"," 7951"," 7712"," 4994"," 3861"," 4316"," 3789"," 3389"," 4337"," 3188"," 25614"," 9128"," 4233"," 7782"," 7779"," 5691"," 5532"," 4743"," 4256"," 3282"," 3755"," 3332"," 3491"," 3296"," 3201"," 3451"," 3452"," 878"," 772"," 806"," 979"," 772"," 1001"," 891"," 951"," 817"," 923"," 1001"," 798"," 688"," 720"," 716"," 467"," 375"," 404"," 279"," 178"," 0"
"2018F","US","CLSCB"," 12257023"," 11593677"," 12101579"," 12952408"," 12646015"," 12651752"," 13571574"," 13903322"," 13766294"," 15037315"," 15457794"," 15912110"," 15259921"," 15862827"," 17005796"," 17532292"," 17235192"," 17944345"," 18880920"," 19050909"," 19164401"," 18985385"," 19114470"," 19832635"," 19900262"," 20095650"," 20998706"," 21440151"," 21582446"," 21581331"," 22574732"," 21905376"," 21902080"," 22321633"," 22463411"," 22792499"," 22443397"," 22746990"," 22381815"," 19690543"," 20827694"," 19663136"," 17380208"," 18038304"," 17996202"," 15548581"," 14226859"," 13839453"," 13249958"
"2018F","US","CLTCD"," .38"," .42"," .45"," .48"," .88"," 1.03"," 1.04"," 1.11"," 1.27"," 1.36"," 1.46"," 1.64"," 1.73"," 1.7"," 1.7"," 1.68"," 1.6"," 1.52"," 1.49"," 1.47"," 1.48"," 1.48"," 1.44"," 1.42"," 1.39"," 1.36"," 1.33"," 1.31"," 1.29"," 1.26"," 1.24"," 1.28"," 1.3"," 1.31"," 1.41"," 1.61"," 1.77"," 1.87"," 2.2"," 2.32"," 2.41"," 2.55"," 2.59"," 2.51"," 2.49"," 2.35"," 2.23"," 2.19"," 2.21"
"2018F","US","CLTCV"," 4630.3"," 4901.9"," 5415"," 6242.6"," 11118.4"," 13021.1"," 14050.8"," 15415.7"," 17550.9"," 20375.7"," 22606.7"," 26158.6"," 26348.9"," 26987.3"," 28963.2"," 29487"," 27658.4"," 27336.1"," 28159.1"," 28094.7"," 28418.8"," 28021"," 27592.4"," 28112.1"," 27580.3"," 27298.1"," 27911.3"," 28163.1"," 27775"," 27194.1"," 27959.1"," 28095.5"," 28400.9"," 29253.6"," 31627.3"," 36742.4"," 39794.3"," 42519.9"," 49252.5"," 45642"," 50244.6"," 50233.4"," 44964.4"," 45260.3"," 44872.6"," 36578.1"," 31694.3"," 30326.1"," 29230.1"
"2018F","US","CLTXD"," .48"," .53"," .57"," .63"," 1.23"," 1.51"," 1.5"," 1.56"," 1.73"," 1.74"," 1.87"," 2.07"," 2.1"," 1.91"," 1.9"," 1.84"," 1.74"," 1.61"," 1.63"," 1.62"," 1.63"," 1.64"," 1.63"," 1.59"," 1.58"," 1.58"," 1.57"," 1.58"," 1.54"," 1.53"," 1.5"," 1.59"," 1.69"," 1.67"," 1.92"," 2.46"," 2.71"," 2.81"," 3.39"," 3.71"," 3.92"," 4.53"," 4.59"," 4.1"," 3.75"," 3.54"," 3.18"," 3.4"," 3.56"
"2018F","US","CLTXV"," 2393.1"," 2265.1"," 2438"," 2725"," 5058.5"," 5842.7"," 5767.2"," 5697.9"," 6078.7"," 6569.8"," 6157"," 6793.6"," 5708.2"," 5114.5"," 5797.7"," 5430.8"," 4903.6"," 4551.1"," 4868.9"," 4718.7"," 4748.3"," 4484.9"," 4322.1"," 4207.7"," 4164.2"," 4159.9"," 4049.2"," 4007.4"," 3634.7"," 3527.9"," 3535.2"," 3635.6"," 3590"," 3569.8"," 4153.7"," 5060.2"," 5371.5"," 5447.1"," 6352.2"," 5447.5"," 6648.2"," 7377.2"," 7149.7"," 6509"," 5879.1"," 4992.8"," 3907.4"," 4134.3"," 4255.9"
"2018F","US","DFACD"," 1.31"," 1.38"," 1.38"," 1.66"," 2.64"," 2.8"," 2.97"," 3.31"," 3.43"," 5.04"," 7.19"," 8.55"," 8.14"," 7.56"," 7.62"," 7.52"," 6.36"," 6.76"," 6.59"," 7.16"," 8.46"," 8.11"," 8.01"," 8.05"," 8.03"," 7.98"," 8.83"," 8.58"," 7.5"," 8.14"," 10.7"," 10.01"," 9.43"," 10.79"," 13.05"," 17.3"," 19.35"," 20.64"," 27.37"," 17.68"," 21.66"," 27.79"," 28.66"," 28.35"," 27.62"," 19.55"," 16.68"," 19.18"," 22.97"
"2018F","US","DFACV"," 2057.9"," 2351.6"," 2682.6"," 3695.5"," 5803.6"," 5937.6"," 6784.7"," 8237.4"," 9184"," 14656.1"," 20090.4"," 24797.7"," 22709.5"," 21967.8"," 22448"," 23830.3"," 20473"," 22528"," 23908.8"," 26387"," 30982.4"," 29204.5"," 29509.2"," 30571"," 32352.1"," 33457.1"," 39410.4"," 40049.9"," 36043.3"," 40656.1"," 55198.8"," 52914.2"," 50822.4"," 60237.8"," 77341.4"," 104977.6"," 123646.2"," 132342.6"," 158556.5"," 97887.1"," 126195.9"," 166755.2"," 164470.8"," 167236.8"," 170097.1"," 122276.5"," 103434.1"," 119899.8"," 150547.5"
"2018F","US","DFCCD"," 1.1"," 1.16"," 1.16"," 1.37"," 2.29"," 2.42"," 2.61"," 2.98"," 3.11"," 4.56"," 6.45"," 7.96"," 7.68"," 6.61"," 6.6"," 6.33"," 4.19"," 4.46"," 4.18"," 4.89"," 5.97"," 5.46"," 5.09"," 4.93"," 4.74"," 4.7"," 5.63"," 5.28"," 4.15"," 4.65"," 7.49"," 6.7"," 6.22"," 7.63"," 9.59"," 13.64"," 15.8"," 17.37"," 24.04"," 14.78"," 18.47"," 24.69"," 25.34"," 24.79"," 23.16"," 14.26"," 11.8"," 14.03"," 17.57"
"2018F","US","DFCCV"," 646.4"," 690"," 733"," 879.8"," 1363.7"," 1422.6"," 1713.1"," 2014.1"," 2073.4"," 2663.2"," 3337.4"," 3640.9"," 3377.8"," 4304.4"," 4855"," 3995.1"," 2613.8"," 2707.4"," 2506.4"," 2802.8"," 3199.1"," 2822.7"," 2579.3"," 2432.2"," 2372.7"," 2250.4"," 2717.4"," 2343.5"," 1778.3"," 2038.4"," 3672.1"," 3404.2"," 2758.1"," 3779.4"," 4506.2"," 6098.1"," 6313.9"," 6620.2"," 9229.7"," 5836.7"," 7222.5"," 9656.6"," 8987.7"," 8500.4"," 8241.6"," 5124.9"," 3838"," 4516.6"," 5663.1"
"2018F","US","DFEID"," .57"," .7"," .74"," 1.05"," 2.12"," 2.2"," 2.38"," 2.71"," 2.76"," 4.18"," 5.73"," 7.3"," 6.97"," 6.2"," 6.22"," 5.89"," 3.67"," 4.17"," 3.81"," 4.25"," 5.61"," 4.84"," 4.76"," 4.46"," 4.09"," 4.16"," 5.03"," 4.53"," 3.46"," 4.11"," 6.87"," 6.16"," 5.69"," 6.84"," 8.33"," 11.48"," 14.31"," 15.56"," 21.44"," 13.37"," 16.63"," 22.56"," 23.76"," 23.2"," 22.2"," 14.57"," 11.15"," 13.59"," 16.27"
