FID,ogc_fid,plant_name,utility_na,sector_nam,city,county,statename,zip,primsource,total_mw,tech_desc
powerplant_wind_2020.808,808,Spring Canyon Expansion Wind Energy Ctr,NRG Yield LLC,IPP Non-CHP,Peetz,Logan,Colorado,80747,wind,62.6,Onshore Wind Turbine
powerplant_wind_2020.809,809,Roosevelt County,"EDF Renewable Asset Holdings, Inc.",IPP Non-CHP,Portales,Roosevelt,New Mexico,88116,wind,250,Onshore Wind Turbine
powerplant_wind_2020.810,810,Longhorn Wind,"EDF Renewable Asset Holdings, Inc.",IPP Non-CHP,Silverton,Briscoe,Texas,79201,wind,200,Onshore Wind Turbine
powerplant_wind_2020.811,811,TX Hereford Wind,"EDF Renewable Asset Holdings, Inc.",IPP Non-CHP,Hereford,Deaf Smith,Texas,88116,wind,200,Onshore Wind Turbine
powerplant_wind_2020.812,812,Spinning Spur Wind II,"EDF Renewable Asset Holdings, Inc.",IPP Non-CHP,Adrian,Oldham,Texas,79001,wind,161,Onshore Wind Turbine
powerplant_wind_2020.813,813,Spinning Spur Wind III,"EDF Renewable Asset Holdings, Inc.",IPP Non-CHP,Adrian,Oldham,Texas,79001,wind,194,Onshore Wind Turbine
powerplant_wind_2020.814,814,Cross Winds Energy Park,Consumers Energy Co,Electric Utility,Unionville,Tuscola,Michigan,48767,wind,230.9,Onshore Wind Turbine
powerplant_wind_2020.815,815,Lakeswind Power Partners,Lakeswind Power Partners,IPP Non-CHP,Pelican Rapids,Clay,Minnesota,56572,wind,50,Onshore Wind Turbine
powerplant_wind_2020.816,816,Keechi Wind,"Keechi Wind, LLC",IPP Non-CHP,Jacksboro,Jack,Texas,76458,wind,110,Onshore Wind Turbine
powerplant_wind_2020.817,817,Bison 4 Wind Energy Center,"ALLETE, Inc.",Electric Utility,New Salem,Morton,North Dakota,58563,wind,205,Onshore Wind Turbine
powerplant_wind_2020.818,818,Highland Wind Project (IA),MidAmerican Energy Co,Electric Utility,Primghar,O'Brien,Iowa,51245,wind,502,Onshore Wind Turbine
powerplant_wind_2020.819,819,Lundgren Wind Project,MidAmerican Energy Co,Electric Utility,Otho,Webster,Iowa,50569,wind,251,Onshore Wind Turbine
powerplant_wind_2020.820,820,Macksburg Wind Project,MidAmerican Energy Co,Electric Utility,Macksburg,Madison,Iowa,50155,wind,119.6,Onshore Wind Turbine
powerplant_wind_2020.821,821,Wellsburg Wind Project,MidAmerican Energy Co,Electric Utility,Wellsburg,Grundy,Iowa,50680,wind,138.6,Onshore Wind Turbine
powerplant_wind_2020.822,822,Com Adam 1WF-1,FPC Services Inc.,IPP Non-CHP,Sublette,Lee,Illinois,61367,wind,5,Onshore Wind Turbine
powerplant_wind_2020.823,823,"Big Turtle Wind Farm, LLC",Heritage Garden Wind Farm I LLC,IPP Non-CHP,Harbor Beach,Huron,Michigan,48441,wind,49.4,Onshore Wind Turbine
powerplant_wind_2020.824,824,Pilot Hill Wind Farm,"EDF Renewable Asset Holdings, Inc.",IPP Non-CHP,Herscher,Kankakee,Illinois,60941,wind,175,Onshore Wind Turbine
powerplant_wind_2020.825,825,Balko Wind LLC,Balko Wind LLC,IPP Non-CHP,Balko,Beaver,Oklahoma,73931,wind,299.7,Onshore Wind Turbine
powerplant_wind_2020.826,826,Kingfisher Wind LLC,Kingfisher Wind LLC,IPP Non-CHP,Kingfisher,Kingfisher,Oklahoma,73762,wind,298,Onshore Wind Turbine
powerplant_wind_2020.827,827,Fourmile Ridge,"Fourmile Wind Energy, LLC",IPP Non-CHP,Frostburg,Garrett,Maryland,21532,wind,40,Onshore Wind Turbine
powerplant_wind_2020.828,828,Beebe 1B,"Beebe 1B Renewable Energy, LLC",IPP Non-CHP,Ithaca,Gratiot,Michigan,48847,wind,50.4,Onshore Wind Turbine
powerplant_wind_2020.829,829,Story City Wind Project,Hamilton Wind Energy LLC,IPP Non-CHP,Story City,Story,Iowa,50248,wind,1.5,Onshore Wind Turbine
powerplant_wind_2020.830,830,Traer Wind Project,"Norsemen Wind Energy, LLC",IPP Non-CHP,Traer,Tama,Iowa,50675,wind,1.5,Onshore Wind Turbine
powerplant_wind_2020.831,831,Origin Wind,"Enel Green Power NA, Inc.",IPP Non-CHP,Hennepin,Murray,Oklahoma,73444,wind,150,Onshore Wind Turbine
powerplant_wind_2020.832,832,Anderson Wind I,BayWa r.e Wind LLC,IPP Non-CHP,Hagerman,Chaves,New Mexico,88232,wind,5,Onshore Wind Turbine
powerplant_wind_2020.833,833,Anderson Wind II,BayWa r.e Wind LLC,IPP Non-CHP,Hagerman,Chaves,New Mexico,88232,wind,10,Onshore Wind Turbine
powerplant_wind_2020.834,834,Camelot Wind LLC,Camelot Wind LLC,IPP Non-CHP,Plymouth,Plymouth,Massachusetts,2360,wind,1.5,Onshore Wind Turbine
powerplant_wind_2020.835,835,"Thunder Spirit Wind, LLC",Montana-Dakota Utilities Co,Electric Utility,Hettinger,Adams,North Dakota,58639,wind,155.5,Onshore Wind Turbine
powerplant_wind_2020.836,836,Fairfield Wind,Greenbacker Renewable Energy Corporation,IPP Non-CHP,Fairfield,Teton,Montana,59436,wind,10,Onshore Wind Turbine
powerplant_wind_2020.837,837,Copenhagen Wind Farm,"Copenhagen Wind Farm, LLC",IPP Non-CHP,Copenhagen,Lewis,New York,13626,wind,79.9,Onshore Wind Turbine
powerplant_wind_2020.838,838,"Broken Bow Wind II, LLC",Consolidated Edison Development Inc.,IPP Non-CHP,Broken Bow,Custer,Nebraska,68822,wind,73.1,Onshore Wind Turbine
powerplant_wind_2020.839,839,Dept of Corrections NCCI Wind,Dept of Corrections NCCI Wind,Commercial Non-CHP,Gardner,Worcester,Massachusetts,1440,wind,3.4,Onshore Wind Turbine
powerplant_wind_2020.840,840,Breckinridge Wind Project LLC,NextEra Energy Resources Breckinridge,IPP Non-CHP,Enid,Garfield,Oklahoma,73701,wind,98.8,Onshore Wind Turbine
powerplant_wind_2020.841,841,St. Olaf Wind Turbine,St. Olaf College,IPP Non-CHP,Northfield,Rice,Minnesota,55057,wind,1.6,Onshore Wind Turbine
powerplant_wind_2020.842,842,Goodwell Wind Project LLC,"Enel Green Power NA, Inc.",IPP Non-CHP,Goodwell,Texas,Oklahoma,73939,wind,200,Onshore Wind Turbine
