FID,ogc_fid,plant_name,utility_na,sector_nam,city,county,statename,zip,primsource,total_mw,tech_desc
powerplant_coal_2020.120,120,Mt Storm,Virginia Electric & Power Co,Electric Utility,Mount Storm,Grant,West Virginia,26739,coal,1640,Conventional Steam Coal; Petroleum Liquids;
powerplant_coal_2020.121,121,South Oak Creek,Wisconsin Electric Power Co,Electric Utility,Oak Creek,Milwaukee,Wisconsin,53154,coal,1096.7,Conventional Steam Coal
powerplant_coal_2020.122,122,Edgewater,Wisconsin Power & Light Co,Electric Utility,Sheboygan,Sheboygan,Wisconsin,53081,coal,413.6,Conventional Steam Coal
powerplant_coal_2020.123,123,Weston,Wisconsin Public Service Corp,Electric Utility,Rothschild,Marathon,Wisconsin,54474,coal,989.4,Conventional Steam Coal; Natural Gas Fired Combustion Turbine; Natural Gas Steam Turbine
powerplant_coal_2020.124,124,Genoa,Dairyland Power Coop,Electric Utility,Genoa,Vernon,Wisconsin,54632,coal,307.5,Conventional Steam Coal
powerplant_coal_2020.125,125,Dave Johnston,PacifiCorp,Electric Utility,Glen Rock,Converse,Wyoming,82637,coal,760,Conventional Steam Coal
powerplant_coal_2020.126,126,Naughton,PacifiCorp,Electric Utility,Kemmerer,Lincoln,Wyoming,83101,coal,687,Conventional Steam Coal
powerplant_coal_2020.127,127,John P Madgett,Dairyland Power Coop,Electric Utility,Alma,Buffalo,Wisconsin,54610,coal,389.8,Conventional Steam Coal
powerplant_coal_2020.128,128,James H Miller Jr,Alabama Power Co,Electric Utility,Quinton,Jefferson,Alabama,35073,coal,2779.8,Conventional Steam Coal
powerplant_coal_2020.129,129,FirstEnergy Pleasants Power Station,Allegheny Energy Supply Co LLC,IPP Non-CHP,Willow Island,Pleasants,West Virginia,26134,coal,1288,Conventional Steam Coal
powerplant_coal_2020.130,130,White Bluff,Entergy Arkansas LLC,Electric Utility,Redfield,Jefferson,Arkansas,72132,coal,1637.6,Conventional Steam Coal
powerplant_coal_2020.131,131,Newton,Illinois Power Generating Co,IPP Non-CHP,Newton,Jasper,Illinois,62448,coal,595,Conventional Steam Coal
powerplant_coal_2020.132,132,East Bend,Duke Energy Kentucky Inc,Electric Utility,Union,Boone,Kentucky,41091,coal,600,Conventional Steam Coal
powerplant_coal_2020.133,133,W H Zimmer,Dynegy W H Zimmer,IPP Non-CHP,Moscow,Clermont,Ohio,45200,coal,1305,Conventional Steam Coal
powerplant_coal_2020.134,134,Craig (CO),"Tri-State G & T Assn, Inc",Electric Utility,Craig,Moffat,Colorado,81626,coal,1285,Conventional Steam Coal
powerplant_coal_2020.135,135,Coal Creek,Great River Energy,Electric Utility,Underwood,McLean,North Dakota,58576,coal,1152.2,Conventional Steam Coal; Petroleum Liquids;
powerplant_coal_2020.136,136,Belle River,DTE Electric Company,Electric Utility,China Twp,St Clair,Michigan,48054,coal,1508,Conventional Steam Coal; Natural Gas Fired Combustion Turbine; Petroleum Liquids
powerplant_coal_2020.137,137,H L Spurlock,"East Kentucky Power Coop, Inc",Electric Utility,Maysville,Mason,Kentucky,41056,coal,1346,Conventional Steam Coal
powerplant_coal_2020.138,138,Wansley,Georgia Power Co,Electric Utility,Roopville,Heard,Georgia,30170,coal,1793,Conventional Steam Coal; Petroleum Liquids;
powerplant_coal_2020.139,139,Big Cajun 2,Louisiana Generating LLC,IPP Non-CHP,New Roads,Pointe Coupee,Louisiana,70760,coal,1723,Conventional Steam Coal; Natural Gas Steam Turbine;
powerplant_coal_2020.140,140,Nearman Creek,City of Kansas City - (KS),Electric Utility,Kansas,Wyandotte,Kansas,66104,coal,316,Conventional Steam Coal; Natural Gas Fired Combustion Turbine;
powerplant_coal_2020.141,141,Iatan,Evergy Metro,Electric Utility,Weston,Platte,Missouri,64098,coal,1597.5,Conventional Steam Coal
powerplant_coal_2020.142,142,Jeffrey Energy Center,"Evergy Kansas Central, Inc",Electric Utility,St. Mary's,Pottawatomie,Kansas,66536,coal,2185.7,Conventional Steam Coal
powerplant_coal_2020.143,143,Trimble County,Louisville Gas & Electric Co,Electric Utility,Bedford,Trimble,Kentucky,40006,coal,2197,Conventional Steam Coal; Natural Gas Fired Combustion Turbine;
powerplant_coal_2020.144,144,Colstrip,Talen Montana LLC,IPP Non-CHP,Colstrip,Rosebud,Montana,59323,coal,1480,Conventional Steam Coal
powerplant_coal_2020.145,145,Gerald Gentleman,Nebraska Public Power District,Electric Utility,Sutherland,Lincoln,Nebraska,69165,coal,1365,Conventional Steam Coal
powerplant_coal_2020.146,146,R M Schahfer,Northern Indiana Pub Serv Co,Electric Utility,Wheatfield,Jasper,Indiana,46392,coal,1780,Conventional Steam Coal; Natural Gas Fired Combustion Turbine;
powerplant_coal_2020.147,147,Lewis & Clark,Montana-Dakota Utilities Co,Electric Utility,Richland,Richland,Montana,59270,coal,71.3,Conventional Steam Coal; Natural Gas Internal Combustion Engine;
powerplant_coal_2020.148,148,Sherburne County,Northern States Power Co - Minnesota,Electric Utility,Becker,Sherburne,Minnesota,55308,coal,2238,Conventional Steam Coal
powerplant_coal_2020.149,149,Sooner,Oklahoma Gas & Electric Co,Electric Utility,Red Rock,Noble,Oklahoma,73061,coal,1040,Conventional Steam Coal
powerplant_coal_2020.150,150,Nebraska City,Omaha Public Power District,Electric Utility,Nebraska City,Otoe,Nebraska,68410,coal,1345.3,Conventional Steam Coal
powerplant_coal_2020.151,151,Big Stone,Otter Tail Power Co,Electric Utility,Big Stone City,Grant,South Dakota,57216,coal,474.6,Conventional Steam Coal; Petroleum Liquids;
powerplant_coal_2020.152,152,Wyodak,PacifiCorp,Electric Utility,Gillette,Campbell,Wyoming,82716,coal,332,Conventional Steam Coal
powerplant_coal_2020.153,153,Boardman,Portland General Electric Co,Electric Utility,Boardman,Morrow,Oregon,97818,coal,585,Conventional Steam Coal
powerplant_coal_2020.154,154,Gibson,"Duke Energy Indiana, LLC",Electric Utility,Owensville,Gibson,Indiana,47665,coal,3132,Conventional Steam Coal
powerplant_coal_2020.155,155,A B Brown,Southern Indiana Gas & Elec Co,Electric Utility,Mount Vernon,Posey,Indiana,47620,coal,650,Conventional Steam Coal; Natural Gas Fired Combustion Turbine;
powerplant_coal_2020.156,156,Flint Creek,Southwestern Electric Power Co,Electric Utility,Gentry,Benton,Arkansas,72734,coal,528,Conventional Steam Coal
powerplant_coal_2020.157,157,Welsh,Southwestern Electric Power Co,Electric Utility,Pittsburg,Titus,Texas,75686,coal,1056,Conventional Steam Coal
powerplant_coal_2020.158,158,Martin Lake,Luminant Generation Company LLC,IPP Non-CHP,Tatum,Rusk,Texas,75691,coal,2410,Conventional Steam Coal
powerplant_coal_2020.159,159,Rush Island,Union Electric Co - (MO),Electric Utility,Festus,Jefferson,Missouri,63028,coal,1178,Conventional Steam Coal
powerplant_coal_2020.160,160,Hunter,PacifiCorp,Electric Utility,Castle Dale,Emery,Utah,84513,coal,1361,Conventional Steam Coal
powerplant_coal_2020.161,161,Rockport,Indiana Michigan Power Co,Electric Utility,Rockport,Spencer,Indiana,47635,coal,2600,Conventional Steam Coal
powerplant_coal_2020.162,162,Coronado,Salt River Project,Electric Utility,St Johns,Apache,Arizona,85936,coal,762,Conventional Steam Coal
powerplant_coal_2020.163,163,Coleto Creek,Coleto Creek Power LP,IPP Non-CHP,Fannin,Goliad,Texas,77960,coal,655,Conventional Steam Coal
powerplant_coal_2020.164,164,Fayette Power Project,Lower Colorado River Authority,Electric Utility,La Grange,Fayette,Texas,78945,coal,1615,Conventional Steam Coal
powerplant_coal_2020.165,165,Oak Grove (TX),Luminant Generation Company LLC,IPP Non-CHP,Franklin,Robertson,Texas,77856,coal,1710,Conventional Steam Coal
powerplant_coal_2020.166,166,J T Deely,City of San Antonio - (TX),Electric Utility,San Antonio,Bexar,Texas,78263,coal,840,Conventional Steam Coal
powerplant_coal_2020.167,167,San Miguel,"San Miguel Electric Coop, Inc",Electric Utility,Christine,Atascosa,Texas,78012,coal,391,Conventional Steam Coal
powerplant_coal_2020.168,168,Harrington,Southwestern Public Service Co,Electric Utility,Amarillo,Potter,Texas,79108,coal,1018,Conventional Steam Coal
powerplant_coal_2020.169,169,Tolk,Southwestern Public Service Co,Electric Utility,Muleshoe,Lamb,Texas,79371,coal,1067,Conventional Steam Coal
powerplant_coal_2020.170,170,John Twitty Energy Center,City Utilities of Springfield - (MO),Electric Utility,Springfield,Greene,Missouri,65807,coal,563,Conventional Steam Coal; Natural Gas Fired Combustion Turbine;
powerplant_coal_2020.171,171,Laramie River Station,Basin Electric Power Coop,Electric Utility,Wheatland,Platte,Wyoming,82201,coal,1700,Conventional Steam Coal
powerplant_coal_2020.172,172,Merom,"Hoosier Energy R E C, Inc",Electric Utility,Sullivan,Sullivan,Indiana,47882,coal,991,Conventional Steam Coal
powerplant_coal_2020.173,173,Pawnee,Public Service Co of Colorado,Electric Utility,Brush,Morgan,Colorado,80723,coal,505,Conventional Steam Coal
powerplant_coal_2020.174,174,Winyah,South Carolina Public Service Authority,Electric Utility,Georgetown,Georgetown,South Carolina,29440,coal,1130,Conventional Steam Coal
powerplant_coal_2020.175,175,Mayo,Duke Energy Progress - (NC),Electric Utility,Roxboro,Person,North Carolina,27573,coal,727,Conventional Steam Coal
powerplant_coal_2020.176,176,Ottumwa,Interstate Power and Light Co,Electric Utility,Ottumwa,Wapello,Iowa,52501,coal,725.4,Conventional Steam Coal
